Date,Open,High,Low,Close,Volume
201712150925,0,0,0,21,0
201712150930,0,0,0,21.02,0
201712150931,0,0,0,21.06,0
201712150932,0,0,0,21.08,0
201712150933,0,0,0,20.95,0
201712150934,0,0,0,20.92,0
201712150935,0,0,0,21,0
201712150936,0,0,0,20.98,0
201712150937,0,0,0,20.94,0
201712150938,0,0,0,21,0
201712150939,0,0,0,20.98,0
201712150940,0,0,0,20.96,0
201712150941,0,0,0,21.07,0
201712150942,0,0,0,21.07,0
201712150943,0,0,0,21.07,0
201712150944,0,0,0,21.11,0
201712150945,0,0,0,21.09,0
201712150946,0,0,0,21.09,0
201712150947,0,0,0,21.12,0
201712150948,0,0,0,21.1,0
201712150949,0,0,0,21.1,0
201712150950,0,0,0,21.1,0
201712150951,0,0,0,21.1,0
201712150952,0,0,0,21.12,0
201712150953,0,0,0,21.12,0
201712150954,0,0,0,21.17,0
201712150955,0,0,0,21.18,0
201712150956,0,0,0,21.18,0
201712150957,0,0,0,21.21,0
201712150958,0,0,0,21.18,0
201712150959,0,0,0,21.15,0
201712151000,0,0,0,21.15,0
201712151001,0,0,0,21.18,0
201712151002,0,0,0,21.18,0
201712151003,0,0,0,21.17,0
201712151004,0,0,0,21.18,0
201712151005,0,0,0,21.19,0
201712151006,0,0,0,21.19,0
201712151007,0,0,0,21.18,0
201712151008,0,0,0,21.15,0
201712151009,0,0,0,21.15,0
201712151010,0,0,0,21.15,0
201712151011,0,0,0,21.11,0
201712151012,0,0,0,21.13,0
201712151013,0,0,0,21.13,0
201712151014,0,0,0,21.14,0
201712151015,0,0,0,21.17,0
201712151016,0,0,0,21.18,0
201712151017,0,0,0,21.18,0
201712151018,0,0,0,21.18,0
201712151019,0,0,0,21.2,0
201712151020,0,0,0,21.19,0
201712151021,0,0,0,21.17,0
201712151022,0,0,0,21.12,0
201712151023,0,0,0,21.12,0
201712151024,0,0,0,21.12,0
201712151025,0,0,0,21.12,0
201712151026,0,0,0,21.14,0
201712151027,0,0,0,21.18,0
201712151028,0,0,0,21.12,0
201712151029,0,0,0,21.13,0
201712151030,0,0,0,21.12,0
201712151031,0,0,0,21.14,0
201712151032,0,0,0,21.12,0
201712151033,0,0,0,21.14,0
201712151034,0,0,0,21.12,0
201712151035,0,0,0,21.1,0
201712151036,0,0,0,21.14,0
201712151037,0,0,0,21.14,0
201712151038,0,0,0,21.15,0
201712151039,0,0,0,21.12,0
201712151040,0,0,0,21.13,0
201712151041,0,0,0,21.13,0
201712151042,0,0,0,21.13,0
201712151043,0,0,0,21.12,0
201712151044,0,0,0,21.1,0
201712151045,0,0,0,21.09,0
201712151046,0,0,0,21.07,0
201712151047,0,0,0,21.07,0
201712151048,0,0,0,21.08,0
201712151049,0,0,0,21.1,0
201712151050,0,0,0,21.11,0
201712151051,0,0,0,21.11,0
201712151052,0,0,0,21.12,0
201712151053,0,0,0,21.14,0
201712151054,0,0,0,21.16,0
201712151055,0,0,0,21.16,0
201712151056,0,0,0,21.16,0
201712151057,0,0,0,21.16,0
201712151058,0,0,0,21.15,0
201712151059,0,0,0,21.15,0
201712151100,0,0,0,21.15,0
201712151101,0,0,0,21.11,0
201712151102,0,0,0,21.11,0
201712151103,0,0,0,21.09,0
201712151104,0,0,0,21.07,0
201712151105,0,0,0,21.09,0
201712151106,0,0,0,21.1,0
201712151107,0,0,0,21.08,0
201712151108,0,0,0,21.09,0
201712151109,0,0,0,21.09,0
201712151110,0,0,0,21.05,0
201712151111,0,0,0,21,0
201712151112,0,0,0,21,0
201712151113,0,0,0,21.02,0
201712151114,0,0,0,20.98,0
201712151115,0,0,0,21.03,0
201712151116,0,0,0,21.03,0
201712151117,0,0,0,20.99,0
201712151119,0,0,0,20.96,0
201712151120,0,0,0,20.96,0
201712151121,0,0,0,20.96,0
201712151122,0,0,0,20.95,0
201712151123,0,0,0,20.95,0
201712151124,0,0,0,20.91,0
201712151125,0,0,0,20.82,0
201712151126,0,0,0,20.73,0
201712151127,0,0,0,20.8,0
201712151128,0,0,0,20.83,0
201712151129,0,0,0,20.75,0
201712151130,0,0,0,20.75,0
201712151300,0,0,0,20.75,0
201712151302,0,0,0,20.83,0
201712151303,0,0,0,20.86,0
201712151304,0,0,0,20.82,0
201712151305,0,0,0,20.84,0
201712151306,0,0,0,20.84,0
201712151307,0,0,0,20.81,0
201712151308,0,0,0,20.8,0
201712151309,0,0,0,20.82,0
201712151310,0,0,0,20.78,0
201712151311,0,0,0,20.76,0
201712151312,0,0,0,20.79,0
201712151313,0,0,0,20.82,0
201712151314,0,0,0,20.83,0
201712151315,0,0,0,20.83,0
201712151316,0,0,0,20.84,0
201712151317,0,0,0,20.83,0
201712151318,0,0,0,20.8,0
201712151319,0,0,0,20.81,0
201712151320,0,0,0,20.82,0
201712151321,0,0,0,20.8,0
201712151322,0,0,0,20.83,0
201712151323,0,0,0,20.83,0
201712151324,0,0,0,20.88,0
201712151325,0,0,0,20.85,0
201712151326,0,0,0,20.85,0
201712151327,0,0,0,20.82,0
201712151328,0,0,0,20.84,0
201712151329,0,0,0,20.85,0
201712151330,0,0,0,20.88,0
201712151331,0,0,0,20.9,0
201712151332,0,0,0,20.9,0
201712151333,0,0,0,20.86,0
201712151334,0,0,0,20.85,0
201712151335,0,0,0,20.85,0
201712151336,0,0,0,20.86,0
201712151337,0,0,0,20.86,0
201712151338,0,0,0,20.85,0
201712151339,0,0,0,20.84,0
201712151340,0,0,0,20.83,0
201712151341,0,0,0,20.83,0
201712151342,0,0,0,20.85,0
201712151343,0,0,0,20.87,0
201712151344,0,0,0,20.9,0
201712151345,0,0,0,20.9,0
201712151346,0,0,0,20.86,0
201712151347,0,0,0,20.87,0
201712151348,0,0,0,20.87,0
201712151349,0,0,0,20.87,0
201712151350,0,0,0,20.86,0
201712151351,0,0,0,20.86,0
201712151352,0,0,0,20.88,0
201712151353,0,0,0,20.86,0
201712151354,0,0,0,20.86,0
201712151355,0,0,0,20.86,0
201712151356,0,0,0,20.88,0
201712151357,0,0,0,20.89,0
201712151358,0,0,0,20.9,0
201712151359,0,0,0,20.88,0
201712151400,0,0,0,20.88,0
201712151401,0,0,0,20.85,0
201712151402,0,0,0,20.85,0
201712151403,0,0,0,20.83,0
201712151404,0,0,0,20.82,0
201712151405,0,0,0,20.85,0
201712151406,0,0,0,20.85,0
201712151407,0,0,0,20.83,0
201712151409,0,0,0,20.85,0
201712151410,0,0,0,20.88,0
201712151411,0,0,0,20.88,0
201712151412,0,0,0,20.89,0
201712151413,0,0,0,20.9,0
201712151414,0,0,0,20.92,0
201712151415,0,0,0,20.89,0
201712151416,0,0,0,20.9,0
201712151417,0,0,0,20.89,0
201712151418,0,0,0,20.85,0
201712151419,0,0,0,20.85,0
201712151420,0,0,0,20.83,0
201712151421,0,0,0,20.84,0
201712151422,0,0,0,20.83,0
201712151423,0,0,0,20.82,0
201712151424,0,0,0,20.83,0
201712151425,0,0,0,20.83,0
201712151426,0,0,0,20.83,0
201712151427,0,0,0,20.84,0
201712151428,0,0,0,20.8,0
201712151429,0,0,0,20.75,0
201712151430,0,0,0,20.75,0
201712151431,0,0,0,20.76,0
201712151432,0,0,0,20.82,0
201712151433,0,0,0,20.81,0
201712151434,0,0,0,20.84,0
201712151435,0,0,0,20.85,0
201712151436,0,0,0,20.83,0
201712151437,0,0,0,20.85,0
201712151438,0,0,0,20.85,0
201712151439,0,0,0,20.86,0
201712151440,0,0,0,20.84,0
201712151441,0,0,0,20.84,0
201712151442,0,0,0,20.85,0
201712151443,0,0,0,20.87,0
201712151444,0,0,0,20.9,0
201712151445,0,0,0,20.89,0
201712151446,0,0,0,20.93,0
201712151447,0,0,0,20.94,0
201712151448,0,0,0,20.89,0
201712151449,0,0,0,20.89,0
201712151450,0,0,0,20.94,0
201712151451,0,0,0,20.88,0
201712151452,0,0,0,20.87,0
201712151453,0,0,0,20.91,0
201712151454,0,0,0,20.9,0
201712151455,0,0,0,20.86,0
201712151456,0,0,0,20.9,0
201712151457,0,0,0,20.88,0
201712151458,0,0,0,20.87,0
201712151459,0,0,0,20.86,0
201712151500,0,0,0,20.85,0
201712180925,0,0,0,20.98,0
201712180930,0,0,0,20.8,0
201712180931,0,0,0,20.9,0
201712180932,0,0,0,20.8,0
201712180933,0,0,0,20.79,0
201712180934,0,0,0,20.75,0
201712180935,0,0,0,20.67,0
201712180936,0,0,0,20.67,0
201712180937,0,0,0,20.73,0
201712180938,0,0,0,20.73,0
201712180939,0,0,0,20.67,0
201712180940,0,0,0,20.66,0
201712180941,0,0,0,20.79,0
201712180942,0,0,0,20.75,0
201712180943,0,0,0,20.71,0
201712180944,0,0,0,20.66,0
201712180945,0,0,0,20.78,0
201712180946,0,0,0,20.8,0
201712180947,0,0,0,20.79,0
201712180948,0,0,0,20.8,0
201712180949,0,0,0,20.79,0
201712180950,0,0,0,20.83,0
201712180951,0,0,0,20.84,0
201712180952,0,0,0,20.83,0
201712180953,0,0,0,20.8,0
201712180954,0,0,0,20.8,0
201712180955,0,0,0,20.79,0
201712180956,0,0,0,20.79,0
201712180957,0,0,0,20.83,0
201712180958,0,0,0,20.88,0
201712180959,0,0,0,20.87,0
201712181000,0,0,0,20.83,0
201712181001,0,0,0,20.85,0
201712181002,0,0,0,20.84,0
201712181003,0,0,0,20.78,0
201712181004,0,0,0,20.8,0
201712181005,0,0,0,20.78,0
201712181007,0,0,0,20.81,0
201712181008,0,0,0,20.81,0
